File Name Group ChIP Mate
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L001_R1_001.fastq.gz Exp1_15h_H3K4me3_Input H3K4me3_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Polymerase_II/Exp1_15_h_Polymerase_II_TAGTGA_L002_R1_001.fastq.gz Exp1_15h_PolII PolII_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Polymerase_II/Exp1_15_h_Polymerase_II_TAGTGA_L004_R1_001.fastq.gz Exp1_15h_PolII PolII_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Polymerase_II/Exp1_15_h_Polymerase_II_TAGTGA_L003_R1_001.fastq.gz Exp1_15h_PolII PolII_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Polymerase_II/Exp1_15_h_Polymerase_II_TAGTGA_L001_R1_001.fastq.gz Exp1_15h_PolII PolII_15h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L002_R1_002.fastq.gz Exp1_15h_PolII_Input PolII_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_001.fastq.gz Exp1_15h_PolII_Input PolII_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L003_R1_002.fastq.gz Exp1_15h_PolII_Input PolII_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L004_R1_002.fastq.gz Exp1_15h_PolII_Input PolII_15h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_15_h_Input_DNA/Exp1_15_h_Input_DNA_GGCACA_L001_R1_002.fastq.gz Exp1_15h_PolII_Input PolII_15h Input 1
